"state","state_total","species","species_total","p"
"Arizona",582640,"Aberts Towhee",23466,0.0403
"Nevada",90901,"Aberts Towhee",416,0.0046
"California",2195708,"Aberts Towhee",3629,0.0017
"California",2195708,"Acorn Woodpecker",16629,0.0076
"Oregon",466881,"Acorn Woodpecker",3510,0.0075
"Arizona",582640,"Acorn Woodpecker",3645,0.0063
"New Mexico",156851,"Acorn Woodpecker",403,0.0026
"Hawaii",53166,"African Silverbill",165,0.0031
"North Dakota",10920,"American Crow",384,0.0352
"Wyoming",11078,"American Crow",272,0.0246
"South Dakota",15062,"American Crow",350,0.0232
"Montana",25244,"American Crow",495,0.0196
"Alaska",8740,"American Crow",156,0.0178
"Utah",194571,"American Crow",2706,0.0139
"Colorado",486631,"American Crow",5812,0.0119
"Washington",686801,"American Crow",7764,0.0113
"Idaho",54716,"American Crow",582,0.0106
"Minnesota",413336,"American Crow",3853,0.0093
"Vermont",59324,"American Crow",547,0.0092
"Maine",134900,"American Crow",1104,0.0082
"Wisconsin",452914,"American Crow",3663,0.0081
"New Hampshire",248851,"American Crow",2006,0.0081
"Iowa",273596,"American Crow",2104,0.0077
"New York",1336435,"American Crow",10208,0.0076
"Oregon",466881,"American Crow",3501,0.0075
"Nebraska",151459,"American Crow",1127,0.0074
"Massachusetts",1069489,"American Crow",7566,0.0071
"Michigan",1006556,"American Crow",7141,0.0071
"Rhode Island",130587,"American Crow",822,0.0063
"Connecticut",577033,"American Crow",3360,0.0058
"Illinois",1120326,"American Crow",6360,0.0057
"New Jersey",1257279,"American Crow",6248,0.005
"Kansas",534827,"American Crow",2560,0.0048
"Ohio",1322484,"American Crow",5978,0.0045
"Delaware",142005,"American Crow",585,0.0041
"Pennsylvania",1941447,"American Crow",7290,0.0038
"Tennessee",975045,"American Crow",3630,0.0037
"Oklahoma",313048,"American Crow",1093,0.0035
"District of Columbia",70055,"American Crow",242,0.0035
"Maryland",1132870,"American Crow",3647,0.0032
"Kentucky",399499,"American Crow",1276,0.0032
"New Mexico",156851,"American Crow",507,0.0032
"Nevada",90901,"American Crow",293,0.0032
"Indiana",849567,"American Crow",2495,0.0029
"Virginia",1776624,"American Crow",4894,0.0028
"Texas",2095781,"American Crow",5397,0.0026
"Louisiana",231343,"American Crow",607,0.0026
"California",2195708,"American Crow",5385,0.0025
"West Virginia",167000,"American Crow",411,0.0025
"Arkansas",293409,"American Crow",652,0.0022
"Missouri",934010,"American Crow",1831,0.002
"Mississippi",136366,"American Crow",226,0.0017
"North Carolina",1909882,"American Crow",2206,0.0012
"Arizona",582640,"American Crow",701,0.0012
"Florida",1055743,"American Crow",1019,0.001
"South Carolina",688623,"American Crow",719,0.001
"South Dakota",15062,"American Crow,House Sparrow",39,0.0026
"North Dakota",10920,"American Crow,House Sparrow",14,0.0013
"Mississippi",136366,"American Goldfinch",8891,0.0652
"West Virginia",167000,"American Goldfinch",9247,0.0554
"Maine",134900,"American Goldfinch",7185,0.0533
"Wisconsin",452914,"American Goldfinch",21082,0.0465
"Minnesota",413336,"American Goldfinch",18633,0.0451
"Vermont",59324,"American Goldfinch",2574,0.0434
"Louisiana",231343,"American Goldfinch",9535,0.0412
"South Dakota",15062,"American Goldfinch",609,0.0404
"Oklahoma",313048,"American Goldfinch",11943,0.0382
"Arkansas",293409,"American Goldfinch",10446,0.0356
