"state","species","total"
"Alabama","House Finch",95760
"Alabama","Northern Cardinal",94904
"Alabama","Purple Finch",22323
"Alabama","Tufted Titmouse",21960
"Alabama","Chipping Sparrow",20003
"Alabama","House Sparrow",16398
"Alabama","Northern Mockingbird",15452
"Alabama","Mourning Dove",13987
"Alabama","Eastern Bluebird",13699
"Alabama","American Goldfinch",8272
"Alabama","Brown-Headed Cowbird",7733
"Alabama","Carolina Wren",7460
"Alabama","Fish Crow",7454
"Alabama","Carolina Chickadee",7273
"Alabama","Pine Siskin",6601
"Alabama","Red-Winged Blackbird",6102
"Alabama","Blue Jay",5759
"Alabama","Field Sparrow",5278
"Alabama","Rose-Breasted Grosbeak",4643
"Alabama","White-Crowned Sparrow",3990
"Alabama","Dark-Eyed Junco",3686
"Alabama","Eurasian Collared Dove",3481
"Alabama","White-Breasted Nuthatch",2814
"Alabama","Orchard Oriole",2755
"Alabama","Song Sparrow",2495
"Alabama","Pine Warbler",2451
"Alabama","Gray Catbird",2100
"Alabama","White-Throated Sparrow",2031
"Alabama","Feral Pigeon",1997
"Alabama","Swamp Sparrow",1924
"Alabama","Brown Thrasher",1765
"Alabama","Red-Bellied Woodpecker",1617
"Alabama","Brown-Headed Nuthatch",1438
"Alabama","Lark Sparrow",1047
"Alabama","Downy Woodpecker",1009
"Alabama","Baltimore Oriole",917
"Alabama","Indigo Bunting",902
"Alabama","Common Grackle",842
"Alabama","Red-Headed Woodpecker",812
"Alabama","Scarlet Tanager",741
"Alabama","Summer Tanager",638
"Alabama","Common Starling",470
"Alabama","Fox Sparrow",398
"Alabama","American Robin",395
"Alabama","Pileated Woodpecker",333
"Alabama","House Finch,Purple Finch",325
"Alabama","American Crow",317
"Alabama","Lincolns Sparrow",313
"Alabama","House Wren",260
"Alabama","White-Winged Dove",260
"Alabama","Eastern Towhee",246
"Alabama","Red Crossbill",223
"Alabama","Evening Grosbeak",211
"Alabama","Orange-Crowned Warbler",205
"Alabama","Brewers Blackbird",202
"Alabama","Dickcissel",168
"Alabama","Golden-Crowned Kinglet",163
"Alabama","Hairy Woodpecker",138
"Alabama","Scaly-Breasted Munia",133
"Alabama","Ruby-Crowned Kinglet",124
"Alabama","Cedar Waxwing",120
"Alabama","Hermit Thrush",120
"Alabama","House Finch,House Sparrow",114
"Alabama","House Finch,Northern Cardinal",102
"Alabama","House Finch,Pine Siskin",102
"Alabama","Clay-Colored Sparrow",90
"Alabama","Yellow-Throated Warbler",83
"Alabama","Blue Grosbeak",79
"Alabama","Painted Bunting",79
"Alabama","Red-Breasted Nuthatch",78
"Alabama","Yellow-Bellied Sapsucker",63
"Alabama","Pine Siskin,Purple Finch",58
"Alabama","Tyrant Flycatcher",58
"Alabama","Brown-Headed Cowbird,House Finch",54
"Alabama","Fish Crow,House Finch",53
"Alabama","Red-Cockaded Woodpecker",53
"Alabama","Brown-Headed Cowbird,Fish Crow",52
"Alabama","Chipping Sparrow,House Finch",46
"Alabama","Eurasian Collared Dove,Mourning Dove",44
"Alabama","Chipping Sparrow,House Sparrow",42
"Alabama","Brown Creeper",38
"Alabama","Northern Cardinal,Purple Finch",36
"Alabama","House Sparrow,Purple Finch",35
